"ID" "activity" "Mean"
26 "WALKING_UPSTAIRS" -0.41167278243368
27 "LAYING" -0.645993647892745
27 "SITTING" -0.647329814034974
27 "STANDING" -0.644356212162637
27 "WALKING" -0.377771272094104
27 "WALKING_DOWNSTAIRS" -0.312446129792811
27 "WALKING_UPSTAIRS" -0.426267052017458
28 "LAYING" -0.640518710327799
28 "SITTING" -0.637322526513564
28 "STANDING" -0.627883524309929
28 "WALKING" -0.393787255237739
28 "WALKING_DOWNSTAIRS" -0.291650876955502
28 "WALKING_UPSTAIRS" -0.401092965937606
29 "LAYING" -0.646324698842316
29 "SITTING" -0.644100724926612
29 "STANDING" -0.650245278868483
29 "WALKING" -0.352894943404783
29 "WALKING_DOWNSTAIRS" -0.31726279115201
29 "WALKING_UPSTAIRS" -0.364429747315138
30 "LAYING" -0.642625296795821
30 "SITTING" -0.646017901904583
30 "STANDING" -0.630635453342216
30 "WALKING" -0.373607524126774
30 "WALKING_DOWNSTAIRS" -0.358790607945901
30 "WALKING_UPSTAIRS" -0.439370730188029
